run_id,scenario_id,repetition,seed,controller_mode,route,lighting,static_position,moving_speed_mps,duration_s,completed,lane_following_success,within_lane_fraction,mean_lane_error_m,max_lane_error_m,collision_count,min_static_clearance_m,min_moving_clearance_m,checkpoints_passed,failure_reason
lane_straight_nominal_baseline_r08_s10008,lane_straight_nominal_baseline,8,10008,baseline,straight,nominal,center,0.150,8.864,1,1,1.000000,0.000000,0.000000,0,14.174541,14.174541,1,
lane_straight_nominal_baseline_r09_s10009,lane_straight_nominal_baseline,9,10009,baseline,straight,nominal,center,0.150,8.864,1,1,1.000000,0.000000,0.000000,0,14.174541,14.174541,1,
lane_straight_nominal_baseline_r10_s10010,lane_straight_nominal_baseline,10,10010,baseline,straight,nominal,center,0.150,8.864,1,1,1.000000,0.000000,0.000000,0,14.174541,14.174541,1,
lane_straight_dim_r01_s10001,lane_straight_dim,1,10001,vision,straight,dim,center,0.150,9.600,1,1,1.000000,0.001364,0.003743,0,14.179302,14.179302,1,
lane_straight_dim_r02_s10002,lane_straight_dim,2,10002,vision,straight,dim,center,0.150,9.600,1,1,1.000000,0.001364,0.003743,0,14.179302,14.179302,1,
lane_straight_dim_r03_s10003,lane_straight_dim,3,10003,vision,straight,dim,center,0.150,9.600,1,1,1.000000,0.001364,0.003743,0,14.179302,14.179302,1,
lane_straight_dim_r04_s10004,lane_straight_dim,4,10004,vision,straight,dim,center,0.150,9.600,1,1,1.000000,0.001364,0.003743,0,14.179302,14.179302,1,
lane_straight_dim_r05_s10005,lane_straight_dim,5,10005,vision,straight,dim,center,0.150,9.600,1,1,1.000000,0.001364,0.003743,0,14.179302,14.179302,1,
lane_straight_dim_r06_s10006,lane_straight_dim,6,10006,vision,straight,dim,center,0.150,9.600,1,1,1.000000,0.001364,0.003743,0,14.179302,14.179302,1,
lane_straight_dim_r07_s10007,lane_straight_dim,7,10007,vision,straight,dim,center,0.150,9.600,1,1,1.000000,0.001364,0.003743,0,14.179302,14.179302,1,
lane_straight_dim_r08_s10008,lane_straight_dim,8,10008,vision,straight,dim,center,0.150,9.600,1,1,1.000000,0.001364,0.003743,0,14.179302,14.179302,1,
lane_straight_dim_r09_s10009,lane_straight_dim,9,10009,vision,straight,dim,center,0.150,9.600,1,1,1.000000,0.001364,0.003743,0,14.179302,14.179302,1,
lane_straight_dim_r10_s10010,lane_straight_dim,10,10010,vision,straight,dim,center,0.150,9.600,1,1,1.000000,0.001364,0.003743,0,14.179302,14.179302,1,
lane_straight_dim_baseline_r01_s10001,lane_straight_dim_baseline,1,10001,baseline,straight,dim,center,0.150,8.864,1,1,1.000000,0.000000,0.000000,0,14.174541,14.174541,1,
lane_straight_dim_baseline_r02_s10002,lane_straight_dim_baseline,2,10002,baseline,straight,dim,center,0.150,8.864,1,1,1.000000,0.000000,0.000000,0,14.174541,14.174541,1,
lane_straight_dim_baseline_r03_s10003,lane_straight_dim_baseline,3,10003,baseline,straight,dim,center,0.150,8.864,1,1,1.000000,0.000000,0.000000,0,14.174541,14.174541,1,
lane_straight_dim_baseline_r04_s10004,lane_straight_dim_baseline,4,10004,baseline,straight,dim,center,0.150,8.864,1,1,1.000000,0.000000,0.000000,0,14.174541,14.174541,1,
lane_straight_dim_baseline_r05_s10005,lane_straight_dim_baseline,5,10005,baseline,straight,dim,center,0.150,8.864,1,1,1.000000,0.000000,0.000000,0,14.174541,14.174541,1,
lane_straight_dim_baseline_r06_s10006,lane_straight_dim_baseline,6,10006,baseline,straight,dim,center,0.150,8.864,1,1,1.000000,0.000000,0.000000,0,14.174541,14.174541,1,
lane_straight_dim_baseline_r07_s10007,lane_straight_dim_baseline,7,10007,baseline,straight,dim,center,0.150,8.864,1,1,1.000000,0.000000,0.000000,0,14.174541,14.174541,1,
lane_straight_dim_baseline_r08_s10008,lane_straight_dim_baseline,8,10008,baseline,straight,dim,center,0.150,8.864,1,1,1.000000,0.000000,0.000000,0,14.174541,14.174541,1,
lane_straight_dim_baseline_r09_s10009,lane_straight_dim_baseline,9,10009,baseline,straight,dim,center,0.150,8.864,1,1,1.000000,0.000000,0.000000,0,14.174541,14.174541,1,
lane_straight_dim_baseline_r10_s10010,lane_straight_dim_baseline,10,10010,baseline,straight,dim,center,0.150,8.864,1,1,1.000000,0.000000,0.000000,0,14.174541,14.174541,1,
lane_straight_bright_r01_s10001,lane_straight_bright,1,10001,vision,straight,bright,center,0.150,9.632,1,1,1.000000,0.008251,0.010414,0,14.167332,14.167332,1,
lane_straight_bright_r02_s10002,lane_straight_bright,2,10002,vision,straight,bright,center,0.150,9.632,1,1,1.000000,0.008251,0.010414,0,14.167332,14.167332,1,
lane_straight_bright_r03_s10003,lane_straight_bright,3,10003,vision,straight,bright,center,0.150,9.632,1,1,1.000000,0.008251,0.010414,0,14.167332,14.167332,1,
lane_straight_bright_r04_s10004,lane_straight_bright,4,10004,vision,straight,bright,center,0.150,9.632,1,1,1.000000,0.008251,0.010414,0,14.167332,14.167332,1,
lane_straight_bright_r05_s10005,lane_straight_bright,5,10005,vision,straight,bright,center,0.150,9.632,1,1,1.000000,0.008251,0.010414,0,14.167332,14.167332,1,
lane_straight_bright_r06_s10006,lane_straight_bright,6,10006,vision,straight,bright,center,0.150,9.632,1,1,1.000000,0.008251,0.010414,0,14.167332,14.167332,1,
lane_straight_bright_r07_s10007,lane_straight_bright,7,10007,vision,straight,bright,center,0.150,9.632,1,1,1.000000,0.008251,0.010414,0,14.167332,14.167332,1,
lane_straight_bright_r08_s10008,lane_straight_bright,8,10008,vision,straight,bright,center,0.150,9.632,1,1,1.000000,0.008251,0.010414,0,14.167332,14.167332,1,
lane_straight_bright_r09_s10009,lane_straight_bright,9,10009,vision,straight,bright,center,0.150,9.632,1,1,1.000000,0.008251,0.010414,0,14.167332,14.167332,1,
lane_straight_bright_r10_s10010,lane_straight_bright,10,10010,vision,straight,bright,center,0.150,9.632,1,1,1.000000,0.008251,0.010414,0,14.167332,14.167332,1,
lane_straight_bright_baseline_r01_s10001,lane_straight_bright_baseline,1,10001,baseline,straight,bright,center,0.150,8.864,1,1,1.000000,0.000000,0.000000,0,14.174541,14.174541,1,
lane_straight_bright_baseline_r02_s10002,lane_straight_bright_baseline,2,10002,baseline,straight,bright,center,0.150,8.864,1,1,1.000000,0.000000,0.000000,0,14.174541,14.174541,1,
lane_straight_bright_baseline_r03_s10003,lane_straight_bright_baseline,3,10003,baseline,straight,bright,center,0.150,8.864,1,1,1.000000,0.000000,0.000000,0,14.174541,14.174541,1,
lane_straight_bright_baseline_r04_s10004,lane_straight_bright_baseline,4,10004,baseline,straight,bright,center,0.150,8.864,1,1,1.000000,0.000000,0.000000,0,14.174541,14.174541,1,
lane_straight_bright_baseline_r05_s10005,lane_straight_bright_baseline,5,10005,baseline,straight,bright,center,0.150,8.864,1,1,1.000000,0.000000,0.000000,0,14.174541,14.174541,1,
lane_straight_bright_baseline_r06_s10006,lane_straight_bright_baseline,6,10006,baseline,straight,bright,center,0.150,8.864,1,1,1.000000,0.000000,0.000000,0,14.174541,14.174541,1,
lane_straight_bright_baseline_r07_s10007,lane_straight_bright_baseline,7,10007,baseline,straight,bright,center,0.150,8.864,1,1,1.000000,0.000000,0.000000,0,14.174541,14.174541,1,
lane_straight_bright_baseline_r08_s10008,lane_straight_bright_baseline,8,10008,baseline,straight,bright,center,0.150,8.864,1,1,1.000000,0.000000,0.000000,0,14.174541,14.174541,1,
lane_straight_bright_baseline_r09_s10009,lane_straight_bright_baseline,9,10009,baseline,straight,bright,center,0.150,8.864,1,1,1.000000,0.000000,0.000000,0,14.174541,14.174541,1,
lane_straight_bright_baseline_r10_s10010,lane_straight_bright_baseline,10,10010,baseline,straight,bright,center,0.150,8.864,1,1,1.000000,0.000000,0.000000,0,14.174541,14.174541,1,
lane_curve_nominal_r01_s10001,lane_curve_nominal,1,10001,vision,full,nominal,center,0.150,57.824,1,1,1.000000,0.032576,0.056867,0,13.213504,13.213504,3,
lane_curve_nominal_r02_s10002,lane_curve_nominal,2,10002,vision,full,nominal,center,0.150,57.824,1,1,1.000000,0.032576,0.056867,0,13.213504,13.213504,3,
lane_curve_nominal_r03_s10003,lane_curve_nominal,3,10003,vision,full,nominal,center,0.150,57.824,1,1,1.000000,0.032576,0.056867,0,13.213504,13.213504,3,
lane_curve_nominal_r04_s10004,lane_curve_nominal,4,10004,vision,full,nominal,center,0.150,57.824,1,1,1.000000,0.032576,0.056867,0,13.213504,13.213504,3,
lane_curve_nominal_r05_s10005,lane_curve_nominal,5,10005,vision,full,nominal,center,0.150,57.824,1,1,1.000000,0.032576,0.056867,0,13.213504,13.213504,3,
lane_curve_nominal_r06_s10006,lane_curve_nominal,6,10006,vision,full,nominal,center,0.150,57.824,1,1,1.000000,0.032576,0.056867,0,13.213504,13.213504,3,
lane_curve_nominal_r07_s10007,lane_curve_nominal,7,10007,vision,full,nominal,center,0.150,57.824,1,1,1.000000,0.032576,0.056867,0,13.213504,13.213504,3,
lane_curve_nominal_r08_s10008,lane_curve_nominal,8,10008,vision,full,nominal,center,0.150,57.824,1,1,1.000000,0.032576,0.056867,0,13.213504,13.213504,3,
lane_curve_nominal_r09_s10009,lane_curve_nominal,9,10009,vision,full,nominal,center,0.150,57.824,1,1,1.000000,0.032576,0.056867,0,13.213504,13.213504,3,
lane_curve_nominal_r10_s10010,lane_curve_nominal,10,10010,vision,full,nominal,center,0.150,57.824,1,1,1.000000,0.032576,0.056867,0,13.213504,13.213504,3,
lane_curve_nominal_baseline_r01_s10001,lane_curve_nominal_baseline,1,10001,baseline,full,nominal,center,0.150,120.000,0,0,0.140000,0.350386,0.406875,0,13.483564,13.483564,0,time_limit
lane_curve_nominal_baseline_r02_s10002,lane_curve_nominal_baseline,2,10002,baseline,full,nominal,center,0.150,120.000,0,0,0.140000,0.350386,0.406875,0,13.483564,13.483564,0,time_limit
lane_curve_nominal_baseline_r03_s10003,lane_curve_nominal_baseline,3,10003,baseline,full,nominal,center,0.150,120.000,0,0,0.140000,0.350386,0.406875,0,13.483564,13.483564,0,time_limit
lane_curve_nominal_baseline_r04_s10004,lane_curve_nominal_baseline,4,10004,baseline,full,nominal,center,0.150,120.000,0,0,0.140000,0.350386,0.406875,0,13.483564,13.483564,0,time_limit
lane_curve_nominal_baseline_r05_s10005,lane_curve_nominal_baseline,5,10005,baseline,full,nominal,center,0.150,120.000,0,0,0.140000,0.350386,0.406875,0,13.483564,13.483564,0,time_limit
lane_curve_nominal_baseline_r06_s10006,lane_curve_nominal_baseline,6,10006,baseline,full,nominal,center,0.150,120.000,0,0,0.140000,0.350386,0.406875,0,13.483564,13.483564,0,time_limit
lane_curve_nominal_baseline_r07_s10007,lane_curve_nominal_baseline,7,10007,baseline,full,nominal,center,0.150,120.000,0,0,0.140000,0.350386,0.406875,0,13.483564,13.483564,0,time_limit
lane_curve_nominal_baseline_r08_s10008,lane_curve_nominal_baseline,8,10008,baseline,full,nominal,center,0.150,120.000,0,0,0.140000,0.350386,0.406875,0,13.483564,13.483564,0,time_limit
lane_curve_nominal_baseline_r09_s10009,lane_curve_nominal_baseline,9,10009,baseline,full,nominal,center,0.150,120.000,0,0,0.140000,0.350386,0.406875,0,13.483564,13.483564,0,time_limit
lane_curve_nominal_baseline_r10_s10010,lane_curve_nominal_baseline,10,10010,baseline,full,nominal,center,0.150,120.000,0,0,0.140000,0.350386,0.406875,0,13.483564,13.483564,0,time_limit
lane_curve_dim_r01_s10001,lane_curve_dim,1,10001,vision,full,dim,center,0.150,57.280,1,1,1.000000,0.036548,0.057169,0,13.214738,13.214738,3,
lane_curve_dim_r02_s10002,lane_curve_dim,2,10002,vision,full,dim,center,0.150,57.280,1,1,1.000000,0.036548,0.057169,0,13.214738,13.214738,3,
lane_curve_dim_r03_s10003,lane_curve_dim,3,10003,vision,full,dim,center,0.150,57.280,1,1,1.000000,0.036548,0.057169,0,13.214738,13.214738,3,
lane_curve_dim_r04_s10004,lane_curve_dim,4,10004,vision,full,dim,center,0.150,57.280,1,1,1.000000,0.036548,0.057169,0,13.214738,13.214738,3,
lane_curve_dim_r05_s10005,lane_curve_dim,5,10005,vision,full,dim,center,0.150,57.280,1,1,1.000000,0.036548,0.057169,0,13.214738,13.214738,3,
lane_curve_dim_r06_s10006,lane_curve_dim,6,10006,vision,full,dim,center,0.150,57.280,1,1,1.000000,0.036548,0.057169,0,13.214738,13.214738,3,
lane_curve_dim_r07_s10007,lane_curve_dim,7,10007,vision,full,dim,center,0.150,57.280,1,1,1.000000,0.036548,0.057169,0,13.214738,13.214738,3,
lane_curve_dim_r08_s10008,lane_curve_dim,8,10008,vision,full,dim,center,0.150,57.280,1,1,1.000000,0.036548,0.057169,0,13.214738,13.214738,3,
lane_curve_dim_r09_s10009,lane_curve_dim,9,10009,vision,full,dim,center,0.150,57.280,1,1,1.000000,0.036548,0.057169,0,13.214738,13.214738,3,
lane_curve_dim_r10_s10010,lane_curve_dim,10,10010,vision,full,dim,center,0.150,57.280,1,1,1.000000,0.036548,0.057169,0,13.214738,13.214738,3,
lane_curve_dim_baseline_r01_s10001,lane_curve_dim_baseline,1,10001,baseline,full,dim,center,0.150,120.000,0,0,0.140000,0.350386,0.406875,0,13.483564,13.483564,0,time_limit
lane_curve_dim_baseline_r02_s10002,lane_curve_dim_baseline,2,10002,baseline,full,dim,center,0.150,120.000,0,0,0.140000,0.350386,0.406875,0,13.483564,13.483564,0,time_limit
lane_curve_dim_baseline_r03_s10003,lane_curve_dim_baseline,3,10003,baseline,full,dim,center,0.150,120.000,0,0,0.140000,0.350386,0.406875,0,13.483564,13.483564,0,time_limit
lane_curve_dim_baseline_r04_s10004,lane_curve_dim_baseline,4,10004,baseline,full,dim,center,0.150,120.000,0,0,0.140000,0.350386,0.406875,0,13.483564,13.483564,0,time_limit
lane_curve_dim_baseline_r05_s10005,lane_curve_dim_baseline,5,10005,baseline,full,dim,center,0.150,120.000,0,0,0.140000,0.350386,0.406875,0,13.483564,13.483564,0,time_limit
lane_curve_dim_baseline_r06_s10006,lane_curve_dim_baseline,6,10006,baseline,full,dim,center,0.150,120.000,0,0,0.140000,0.350386,0.406875,0,13.483564,13.483564,0,time_limit
lane_curve_dim_baseline_r07_s10007,lane_curve_dim_baseline,7,10007,baseline,full,dim,center,0.150,120.000,0,0,0.140000,0.350386,0.406875,0,13.483564,13.483564,0,time_limit
lane_curve_dim_baseline_r08_s10008,lane_curve_dim_baseline,8,10008,baseline,full,dim,center,0.150,120.000,0,0,0.140000,0.350386,0.406875,0,13.483564,13.483564,0,time_limit
lane_curve_dim_baseline_r09_s10009,lane_curve_dim_baseline,9,10009,baseline,full,dim,center,0.150,120.000,0,0,0.140000,0.350386,0.406875,0,13.483564,13.483564,0,time_limit
lane_curve_dim_baseline_r10_s10010,lane_curve_dim_baseline,10,10010,baseline,full,dim,center,0.150,120.000,0,0,0.140000,0.350386,0.406875,0,13.483564,13.483564,0,time_limit
lane_curve_bright_r01_s10001,lane_curve_bright,1,10001,vision,full,bright,center,0.150,58.432,1,1,1.000000,0.031729,0.058373,0,13.214968,13.214968,3,
lane_curve_bright_r02_s10002,lane_curve_bright,2,10002,vision,full,bright,center,0.150,58.432,1,1,1.000000,0.031729,0.058373,0,13.214968,13.214968,3,
lane_curve_bright_r03_s10003,lane_curve_bright,3,10003,vision,full,bright,center,0.150,58.432,1,1,1.000000,0.031729,0.058373,0,13.214968,13.214968,3,
lane_curve_bright_r04_s10004,lane_curve_bright,4,10004,vision,full,bright,center,0.150,58.432,1,1,1.000000,0.031729,0.058373,0,13.214968,13.214968,3,
lane_curve_bright_r05_s10005,lane_curve_bright,5,10005,vision,full,bright,center,0.150,58.432,1,1,1.000000,0.031729,0.058373,0,13.214968,13.214968,3,
lane_curve_bright_r06_s10006,lane_curve_bright,6,10006,vision,full,bright,center,0.150,58.432,1,1,1.000000,0.031729,0.058373,0,13.214968,13.214968,3,
lane_curve_bright_r07_s10007,lane_curve_bright,7,10007,vision,full,bright,center,0.150,58.432,1,1,1.000000,0.031729,0.058373,0,13.214968,13.214968,3,
lane_curve_bright_r08_s10008,lane_curve_bright,8,10008,vision,full,bright,center,0.150,58.432,1,1,1.000000,0.031729,0.058373,0,13.214968,13.214968,3,
lane_curve_bright_r09_s10009,lane_curve_bright,9,10009,vision,full,bright,center,0.150,58.432,1,1,1.000000,0.031729,0.058373,0,13.214968,13.214968,3,
lane_curve_bright_r10_s10010,lane_curve_bright,10,10010,vision,full,bright,center,0.150,58.432,1,1,1.000000,0.031729,0.058373,0,13.214968,13.214968,3,
lane_curve_bright_baseline_r01_s10001,lane_curve_bright_baseline,1,10001,baseline,full,bright,center,0.150,120.000,0,0,0.140000,0.350386,0.406875,0,13.483564,13.483564,0,time_limit
lane_curve_bright_baseline_r02_s10002,lane_curve_bright_baseline,2,10002,baseline,full,bright,center,0.150,120.000,0,0,0.140000,0.350386,0.406875,0,13.483564,13.483564,0,time_limit
lane_curve_bright_baseline_r03_s10003,lane_curve_bright_baseline,3,10003,baseline,full,bright,center,0.150,120.000,0,0,0.140000,0.350386,0.406875,0,13.483564,13.483564,0,time_limit
lane_curve_bright_baseline_r04_s10004,lane_curve_bright_baseline,4,10004,baseline,full,bright,center,0.150,120.000,0,0,0.140000,0.350386,0.406875,0,13.483564,13.483564,0,time_limit
lane_curve_bright_baseline_r05_s10005,lane_curve_bright_baseline,5,10005,baseline,full,bright,center,0.150,120.000,0,0,0.140000,0.350386,0.406875,0,13.483564,13.483564,0,time_limit
lane_curve_bright_baseline_r06_s10006,lane_curve_bright_baseline,6,10006,baseline,full,bright,center,0.150,120.000,0,0,0.140000,0.350386,0.406875,0,13.483564,13.483564,0,time_limit
lane_curve_bright_baseline_r07_s10007,lane_curve_bright_baseline,7,10007,baseline,full,bright,center,0.150,120.000,0,0,0.140000,0.350386,0.406875,0,13.483564,13.483564,0,time_limit
lane_curve_bright_baseline_r08_s10008,lane_curve_bright_baseline,8,10008,baseline,full,bright,center,0.150,120.000,0,0,0.140000,0.350386,0.406875,0,13.483564,13.483564,0,time_limit
lane_curve_bright_baseline_r09_s10009,lane_curve_bright_baseline,9,10009,baseline,full,bright,center,0.150,120.000,0,0,0.140000,0.350386,0.406875,0,13.483564,13.483564,0,time_limit
lane_curve_bright_baseline_r10_s10010,lane_curve_bright_baseline,10,10010,baseline,full,bright,center,0.150,120.000,0,0,0.140000,0.350386,0.406875,0,13.483564,13.483564,0,time_limit
static_left_r01_s10001,static_left,1,10001,vision,full,nominal,left,0.150,57.280,1,1,1.000000,0.037305,0.056853,0,0.110260,13.214517,3,
static_left_r02_s10002,static_left,2,10002,vision,full,nominal,left,0.150,57.280,1,1,1.000000,0.037305,0.056853,0,0.110260,13.214517,3,
static_left_r03_s10003,static_left,3,10003,vision,full,nominal,left,0.150,57.280,1,1,1.000000,0.037305,0.056853,0,0.110260,13.214517,3,
static_left_r04_s10004,static_left,4,10004,vision,full,nominal,left,0.150,57.280,1,1,1.000000,0.037305,0.056853,0,0.110260,13.214517,3,
static_left_r05_s10005,static_left,5,10005,vision,full,nominal,left,0.150,57.280,1,1,1.000000,0.037305,0.056853,0,0.110260,13.214517,3,
static_left_r06_s10006,static_left,6,10006,vision,full,nominal,left,0.150,57.280,1,1,1.000000,0.037305,0.056853,0,0.110260,13.214517,3,
static_left_r07_s10007,static_left,7,10007,vision,full,nominal,left,0.150,57.280,1,1,1.000000,0.037305,0.056853,0,0.110260,13.214517,3,
static_left_r08_s10008,static_left,8,10008,vision,full,nominal,left,0.150,57.280,1,1,1.000000,0.037305,0.056853,0,0.110260,13.214517,3,
static_left_r09_s10009,static_left,9,10009,vision,full,nominal,left,0.150,57.280,1,1,1.000000,0.037305,0.056853,0,0.110260,13.214517,3,
static_left_r10_s10010,static_left,10,10010,vision,full,nominal,left,0.150,57.280,1,1,1.000000,0.037305,0.056853,0,0.110260,13.214517,3,
static_center_r01_s10001,static_center,1,10001,vision,full,nominal,center,0.150,60.480,1,1,1.000000,0.044563,0.122065,0,0.080705,13.214506,3,
static_center_r02_s10002,static_center,2,10002,vision,full,nominal,center,0.150,60.480,1,1,1.000000,0.044563,0.122065,0,0.080705,13.214506,3,
static_center_r03_s10003,static_center,3,10003,vision,full,nominal,center,0.150,60.480,1,1,1.000000,0.044563,0.122065,0,0.080705,13.214506,3,
static_center_r04_s10004,static_center,4,10004,vision,full,nominal,center,0.150,60.480,1,1,1.000000,0.044563,0.122065,0,0.080705,13.214506,3,
static_center_r05_s10005,static_center,5,10005,vision,full,nominal,center,0.150,60.480,1,1,1.000000,0.044563,0.122065,0,0.080705,13.214506,3,
static_center_r06_s10006,static_center,6,10006,vision,full,nominal,center,0.150,60.480,1,1,1.000000,0.044563,0.122065,0,0.080705,13.214506,3,
static_center_r07_s10007,static_center,7,10007,vision,full,nominal,center,0.150,60.480,1,1,1.000000,0.044563,0.122065,0,0.080705,13.214506,3,
static_center_r08_s10008,static_center,8,10008,vision,full,nominal,center,0.150,60.480,1,1,1.000000,0.044563,0.122065,0,0.080705,13.214506,3,
static_center_r09_s10009,static_center,9,10009,vision,full,nominal,center,0.150,60.480,1,1,1.000000,0.044563,0.122065,0,0.080705,13.214506,3,
static_center_r10_s10010,static_center,10,10010,vision,full,nominal,center,0.150,60.480,1,1,1.000000,0.044563,0.122065,0,0.080705,13.214506,3,
static_right_r01_s10001,static_right,1,10001,vision,full,nominal,right,0.150,57.792,1,1,1.000000,0.033365,0.057118,0,0.109586,13.213630,3,
static_right_r02_s10002,static_right,2,10002,vision,full,nominal,right,0.150,57.792,1,1,1.000000,0.033365,0.057118,0,0.109586,13.213630,3,
static_right_r03_s10003,static_right,3,10003,vision,full,nominal,right,0.150,57.792,1,1,1.000000,0.033365,0.057118,0,0.109586,13.213630,3,
static_right_r04_s10004,static_right,4,10004,vision,full,nominal,right,0.150,57.792,1,1,1.000000,0.033365,0.057118,0,0.109586,13.213630,3,
static_right_r05_s10005,static_right,5,10005,vision,full,nominal,right,0.150,57.792,1,1,1.000000,0.033365,0.057118,0,0.109586,13.213630,3,
static_right_r06_s10006,static_right,6,10006,vision,full,nominal,right,0.150,57.792,1,1,1.000000,0.033365,0.057118,0,0.109586,13.213630,3,
static_right_r07_s10007,static_right,7,10007,vision,full,nominal,right,0.150,57.792,1,1,1.000000,0.033365,0.057118,0,0.109586,13.213630,3,
static_right_r08_s10008,static_right,8,10008,vision,full,nominal,right,0.150,57.792,1,1,1.000000,0.033365,0.057118,0,0.109586,13.213630,3,
static_right_r09_s10009,static_right,9,10009,vision,full,nominal,right,0.150,57.792,1,1,1.000000,0.033365,0.057118,0,0.109586,13.213630,3,
static_right_r10_s10010,static_right,10,10010,vision,full,nominal,right,0.150,57.792,1,1,1.000000,0.033365,0.057118,0,0.109586,13.213630,3,
moving_010_r01_s10001,moving_010,1,10001,vision,full,nominal,center,0.100,64.000,1,1,1.000000,0.036479,0.065626,0,13.213465,0.127830,3,
moving_010_r02_s10002,moving_010,2,10002,vision,full,nominal,center,0.100,64.000,1,1,1.000000,0.036479,0.065626,0,13.213465,0.127830,3,
moving_010_r03_s10003,moving_010,3,10003,vision,full,nominal,center,0.100,64.000,1,1,1.000000,0.036479,0.065626,0,13.213465,0.127830,3,
moving_010_r04_s10004,moving_010,4,10004,vision,full,nominal,center,0.100,64.000,1,1,1.000000,0.036479,0.065626,0,13.213465,0.127830,3,
moving_010_r05_s10005,moving_010,5,10005,vision,full,nominal,center,0.100,64.000,1,1,1.000000,0.036479,0.065626,0,13.213465,0.127830,3,
moving_010_r06_s10006,moving_010,6,10006,vision,full,nominal,center,0.100,64.000,1,1,1.000000,0.036479,0.065626,0,13.213465,0.127830,3,
moving_010_r07_s10007,moving_010,7,10007,vision,full,nominal,center,0.100,64.000,1,1,1.000000,0.036479,0.065626,0,13.213465,0.127830,3,
moving_010_r08_s10008,moving_010,8,10008,vision,full,nominal,center,0.100,64.000,1,1,1.000000,0.036479,0.065626,0,13.213465,0.127830,3,
moving_010_r09_s10009,moving_010,9,10009,vision,full,nominal,center,0.100,64.000,1,1,1.000000,0.036479,0.065626,0,13.213465,0.127830,3,
moving_010_r10_s10010,moving_010,10,10010,vision,full,nominal,center,0.100,64.000,1,1,1.000000,0.036479,0.065626,0,13.213465,0.127830,3,
moving_015_r01_s10001,moving_015,1,10001,vision,full,nominal,center,0.150,58.464,1,1,1.000000,0.032542,0.057119,0,13.213465,0.133136,3,
